common_name;family;genus;species;error
biribazinho;annonaceae;annona;rollinia exsucca;annona exsucca
piquiarana;caryocaraceae;caryocar;caryocar pallidum;caryocar pallydum
embauba;urticaceae;cecropia;cecropia latiloba;cecropia latilobada
capitari;bignoniaceae;handroanthus;Tabebuia barbata;handroanthus barbatus
seringa barriguda;euphorbiaceae;hevea;hevea spruceana;hevea spruceanum
sacaiti;nyctaginaceae;neea;Neea oppositifolia;neea spruceana
cacau;malvaceae;theobroma;theobroma cacao;theobroma cacau
