parcelas;transecto;owner;institution
CP_L2_19a24.shp;NP_T-0403_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_01.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_02.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_03.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_04.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_05.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_06.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_FOR_04.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_FOR_05.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_FOR_06.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_1A.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_1B.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_1C.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_1D.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_4C.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
ISA_T03_P02.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
ISA_T03_P03.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
ISA_T03_P04.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
ISA_T03_P05.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
ISA_T03_P06.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
POLYANA_P01.shp;T_637;Polyana Bispo;Univeristy of Leicester
POLYANA_P02.shp;T_637;Polyana Bispo;Univeristy of Leicester
POLYANA_P03.shp;T_635;Polyana Bispo;Univeristy of Leicester
POLYANA_P04.shp;T_635;Polyana Bispo;Univeristy of Leicester
POLYANA_P05.shp;T_635;Polyana Bispo;Univeristy of Leicester
POLYANA_P06.shp;sem lidar;Polyana Bispo;Univeristy of Leicester
POLYANA_P07.shp;sem lidar;Polyana Bispo;Univeristy of Leicester
POLYANA_P08.shp;sem lidar;Polyana Bispo;Univeristy of Leicester
POLYANA_P09.shp;T_632;Polyana Bispo;Univeristy of Leicester
POLYANA_P10.shp;T_632;Polyana Bispo;Univeristy of Leicester
POLYANA_P11.shp;T_632;Polyana Bispo;Univeristy of Leicester
POLYANA_P12.shp;T_632;Polyana Bispo;Univeristy of Leicester
POLYANA_P13.shp;T_632;Polyana Bispo;Univeristy of Leicester
POLYANA_P14.shp;T_473;Polyana Bispo;Univeristy of Leicester
POLYANA_P15.shp;T_473;Polyana Bispo;Univeristy of Leicester
POLYANA_P16.shp;sem lidar;Polyana Bispo;Univeristy of Leicester
POLYANA_P17.shp;T_633;Polyana Bispo;Univeristy of Leicester
POLYANA_P18.shp;T_629;Polyana Bispo;Univeristy of Leicester
POLYANA_P19.shp;T_633;Polyana Bispo;Univeristy of Leicester
POLYANA_P20.shp;T_629;Polyana Bispo;Univeristy of Leicester
POLYANA_P21.shp;T_506;Polyana Bispo;Univeristy of Leicester
QDR_A01aA06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_A07aA12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_A13aA18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_A19aA24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_A25aA30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_B01aB06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_B07aB12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_B13aB18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_B19aB24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_B25aB30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_C01aC06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_C07aC12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_C13aC18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_C19aC24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_C25aC30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_D01aD06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_D07aD12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_D13aD18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_D19aD24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_D25aD30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_E01aE06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_E07aE12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_E13aE18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_E19aE24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_E25aE30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_F01aF06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_F07aF12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_F13aF18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_F19aF24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_F25aF30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_G01aG06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_G07aG12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_G13aG18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_G19aG24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_G25aG30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_H01aH06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_H07aH12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_H13aH18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_H19aH24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_H25aH30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_I01aI06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_I07aI12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_I13aI18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_I19aI24.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
QDR_I25aI30.shp;NP_T-0401_dn_g_n_ch1_5.laz;Niro;INPA
QDR_J01aJ06.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_J07aJ12.shp;NP_T-0400_dn_g_n_ch1_5.laz;Niro;INPA
QDR_J13aJ18.shp;NP_T-0402_dn_g_n_ch1_5.laz;Niro;INPA
