Parcela;Obs_parcela;N;Nome_comum;DAP;Altura;Altura_medida_estimada;Morta;Tipo;Ano;;;;;;;;;;;
TNS_001a006;NA;40;ABIURANA MACARANDUBA;40,0;26,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;41;TAQUARI VERMELHO;12,0;12,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;42;UXIRANA;45,2;27,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;43;MURICI DA MATA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;44;PIÃOZINHO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;44B;MUIRAXIMBE;12,4;12,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;45;MUCURAO;12,5;12,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;46;ITAUBARANA;21,1;17,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;46H;EMBAUBA BENGUE;13,0;12,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;47;MATAMATA AMARELO;18,1;16,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;48;PIÃOZINHO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;48G;DESCONHECIDA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;49;FALSA CUPIUBA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;49F;ABIURANA;11,9;12,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;49H;CHICLETE BRAVO;11,0;11,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;50;MATAMATA AMARELO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;50C;TABOQUINHA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;51;FALSA CUPIUBA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;42J;JOÄO MOLE;NA;NA;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;29J;BUCHUCHU CANELA DE VELHO;NA;NA;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;44J;TACHI PRETO;NA;NA;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;52;CHICLETE BRAVO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;53;URUCURANA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;54;GITO VERMELHO;22,3;18,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;54B;ABIURANA DE GUARIBA;20,0;17,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;54C;GENIPARANA;11,0;11,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;54G;UCUUBA PRETA;10,7;11,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;55;PITOMBA DA MATA;21,7;18,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;56;PEPINO DA MATA;25,6;20,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;57;MATAMATA AMARELO;17,6;15,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;58;ENVIRA PRETA;12,2;12,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;59;SERINGARANA;17,5;15,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;60;ANGELIM RAJADO;27,2;20,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;61;ENVIRA PRETA;13,3;13,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;62;PIÃOZINHO;13,5;13,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;63;RIPEIRO VERMELHO;20,7;17,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;64;ABIURANA BACURI;19,7;17,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;65;ABIURANA ;32,0;23,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;66;ABIURANA;20,3;17,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;67;PERIQUITEIRA;21,0;17,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;68;MUIRAXIMBE;10,3;10,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;69;ENVIRA PRETA;11,0;11,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;70;ABIURANA ABIU;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;70B;CHICLETE BRAVO;12,0;12,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;71;CARAIPE;41,0;26,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;71D;TAQUARI VERMELHO;11,0;11,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;72;MATAMATA AMARELO;26,0;20,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;73;LOURO ARITU;11,5;11,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;74;EMBAUBA BENGUE;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;75;BREU MANGA;23,6;19,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;75D1;TACHI PRETO;14,2;13,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;75D2;ARABA VERMELHO;11,5;11,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;76;CHICLETE BRAVO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;77;ABIURANA;20,1;17,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;78;LOURO ARITU;15,0;14,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;79;RIPEIRO VERMELHO;15,5;14,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;80;PAPO DE MUTUM;NA;NA;EST;M;NA;2015;;;;;;;;;;;
