_id;common_name;family;genus;species
1;louro preto;lauraceae;aiouea;aiouea cf lehmannii
5;araca bravo;rubiaceae;alibertia;alibertia sp
7;sucupira chorona;fabaceae;andira;andira spp
11;envira amargosa;annonaceae;annonaceae;annonaceae spp
12;envira preta;annonaceae;annonaceae;annonaceae spp
13;envira vermelha;annonaceae;annonaceae;annonaceae spp
15;piquia marfim;apocynaceae;aspidosperma;aspidosperma spp
16;buchuchu;melastomataceae;bellucia;bellucia spp
17;tanimbuca;combretaceae;buchenavia;buchenavia guianesis
18;tanimbuca;combretaceae;buchenavia;buchenavia sp 2
19;tanimbuca;combretaceae;buchenavia;buchenavia spp
20;breu manga;burseraceae;burseraceae;burseraceae spp
26;caraiperana;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
27;macucu;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
28;macucu fofo;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
29;pajura mata;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
30;pajurazinho;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
32;ucuquirana verdadeira;sapotaceae;chrysophyllum;chrysophyllum spp
33;bacuri jacare;clusiaceae;clusiaceae;clusiaceae spp
35;freijo branco;boraginaceae;cordia;cordia spp
37;cumaru;fabaceae;dipteryx;dipteryx spp
39;envira amarela;annonaceae;duguetia;duguetia spp
46;castanha vermelha;lecythidaceae;eschweilera;eschweilera cf micrantha
53;ripeiro branco;lecythidaceae;eschweilera;eschweilera romeu cardosoi
54;ripeiro vermelho;lecythidaceae;eschweilera;eschweilera romeu cardosoi
55;seringarana;lecythidaceae;eschweilera;eschweilera romeu cardosoi
56;matamata amarelo;lecythidaceae;eschweilera;eschweilera spp
57;ripeiro;lecythidaceae;eschweilera;eschweilera spp
58;ripeiro branco;lecythidaceae;eschweilera;eschweilera spp
59;ripeiro preto;lecythidaceae;eschweilera;eschweilera spp
60;ripeiro vermelho;lecythidaceae;eschweilera;eschweilera spp
63;abiurana fedorenta;myrtaceae;eugenia;eugenia cf chartacea
66;seringarana;euphorbiaceae;euphorbiaceae;euphorbiaceae spp
67;tento preto;fabaceae;fabaceae;fabaceae sp 2
68;cumarurana;fabaceae;fabaceae;fabaceae spp
69;falso angelim;fabaceae;fabaceae;fabaceae spp
70;faveira folha fina;fabaceae;fabaceae;fabaceae spp
71;faveira rape;fabaceae;fabaceae;fabaceae spp
72;inga;fabaceae;fabaceae;fabaceae spp
73;ingarana;fabaceae;fabaceae;fabaceae spp
74;sucupira vermelha;fabaceae;fabaceae;fabaceae spp
78;gito vermelho;meliaceae;guarea;guarea spp
79;envira fofa;annonaceae;guatteria;guatteria spp
80;pau darco;bignoniaceae;handroanthus;handroanthus spp
84;uxirana;humiriaceae;humiriaceae;humiriaceae spp
85;sucupira amarela;fabaceae;hymenolobium;hymenolobium cf heterocarpum
86;favinha;indeterminado;#valor!;indeterminado
87;gameleira;indeterminado;#valor!;indeterminado
88;gitorana;indeterminado;#valor!;indeterminado
89;gogo guariba;indeterminado;#valor!;indeterminado
90;goiabarana;indeterminado;#valor!;indeterminado
91;marmelo;indeterminado;#valor!;indeterminado
92;muiratinga;indeterminado;#valor!;indeterminado
93;orelha burro;indeterminado;#valor!;indeterminado
94;tinteira;indeterminado;#valor!;indeterminado
95;uchi cotia;indeterminado;#valor!;indeterminado
96;uchi cutia;indeterminado;#valor!;indeterminado
97;inga vermelha;fabaceae;inga;inga cf capitata
98;inga vermelha;fabaceae;inga;inga cf cordatoalata
99;falsa rainha;fabaceae;inga;inga cf leiocalycina
101;inga;fabaceae;inga;inga spp
102;inga branca;fabaceae;inga;inga spp
103;inga branco;fabaceae;inga;inga spp
104;inga peluda;fabaceae;inga;inga spp
105;inga vermelha;fabaceae;inga;inga spp
106;inga vermelho;fabaceae;inga;inga spp
108;ucuuba puna;myristicaceae;iryanthera;iryanthera spp
112;pimenta nambu;lacistemataceae;lacistema;lacistema aggregatum/polystachyum
113;pimenta nambu;lacistemataceae;lacistema;lacistema spp
115;louro aritu;lauraceae;lauraceae;lauraceae spp
116;louro bosta;lauraceae;lauraceae;lauraceae spp
117;louro branco;lauraceae;lauraceae;lauraceae spp
118;louro chumbo;lauraceae;lauraceae;lauraceae spp
119;louro falso aritu;lauraceae;lauraceae;lauraceae spp
120;louro fofo;lauraceae;lauraceae;lauraceae spp
121;louro preto;lauraceae;lauraceae;lauraceae spp
122;castanha jarana;lecythidaceae;lecythidaceae;lecythidaceae sp
123;tauari;lecythidaceae;lecythidaceae;lecythidaceae spp
124;castanha jarana;lecythidaceae;lecythis;lecythis cf chartacea
125;castanha jarana fm;lecythidaceae;lecythis;lecythis cf gracieana
126;castanha jarana;lecythidaceae;lecythis;lecythis spp
127;castanha jarana fm;lecythidaceae;lecythis;lecythis spp
128;castanha sapucaia;lecythidaceae;lecythis;lecythis spp
133;caraipe;chrysobalanaceae;licania;licania spp
134;macucu;chrysobalanaceae;licania;licania spp
135;macucu chiador;chrysobalanaceae;licania;licania spp
137;louro fofo;lauraceae;licaria;licaria crassifolia
138;louro pirarucu;lauraceae;licaria;licaria crassifolia
141;taquari;euphorbiaceae;mabea;mabea spp
142;macaranduba;sapotaceae;manilkara;manilkara spp
143;massaranduba;sapotaceae;manilkara;manilkara spp
145;gito;meliaceae;meliaceae;meliaceae spp
146;anil;melastomataceae;miconia;miconia cf cuspidata
147;vassoureiro;melastomataceae;miconia;miconia cf cuspidata
148;buchuchu orelha burro;melastomataceae;miconia;miconia cf eriodonta
149;buchuchu canela velh;melastomataceae;miconia;miconia dicrophylla
150;buchuchu canela velho;melastomataceae;miconia;miconia dicrophylla
174;buchuchu;melastomataceae;miconia;miconia spp
175;buchuchu canela velh;melastomataceae;miconia;miconia spp
176;buchuchu canela velho;melastomataceae;miconia;miconia spp
177;buchuchu folha serrilhada;melastomataceae;miconia;miconia spp
178;buchuchu fs;melastomataceae;miconia;miconia spp
179;buchuchu orelha burr;melastomataceae;miconia;miconia spp
180;buchuchu vermelho;melastomataceae;miconia;miconia spp
181;buxuxu;melastomataceae;miconia;miconia spp
182;buxuxu canela velho;melastomataceae;miconia;miconia spp
183;buxuxu f. serrali.;melastomataceae;miconia;miconia spp
184;buxuxu folha serri;melastomataceae;miconia;miconia spp
185;buxuxu orelha burro;melastomataceae;miconia;miconia spp
186;leiteira;melastomataceae;miconia;miconia spp
189;abiurana olho veado;sapotaceae;micropholis;micropholis spp
190;chiclete bravo;sapotaceae;micropholis;micropholis spp
191;amapa amargoso;moraceae;moraceae;moraceae spp
192;inhare;moraceae;moraceae;moraceae spp
193;muiratinga;moraceae;moraceae;moraceae spp
194;mamaozinho;melastomataceae;mouriri;mouriri duckeana/duckeanoides
195;muirauba;melastomataceae;mouriri;mouriri duckeana/duckeanoides
196;mamaozinho;melastomataceae;mouriri;mouriri spp
198;goiabinha;myrtaceae;myrcia;myrcia spp
201;ucuuba branca;myristicaceae;myristicaceae;myristicaceae spp
202;ucuuba chorona;myristicaceae;myristicaceae;myristicaceae spp
203;araca bravo;myrtaceae;myrtaceae;myrtaceae spp
204;macucu chiador;myrtaceae;myrtaceae;myrtaceae spp
205;murta mata;myrtaceae;myrtaceae;myrtaceae spp
206;joao mole;nyctaginaceae;neea;neea cf robusta
207;joao mole;nyctaginaceae;neea;neea cf verticillata
208;joao mole;nyctaginaceae;neea;neea spp
209;joao mole;nyctaginaceae;nyctaginaceae;nyctaginaceae sp 2
214;tento;fabaceae;ormosia;ormosia spp
215;tento grande;fabaceae;ormosia;ormosia spp
216;fava parkia;fabaceae;parkia;parkia spp
217;faveira parkia;fabaceae;parkia;parkia spp
218;visgueiro;fabaceae;parkia;parkia spp
219;embaraubarana;urticaceae;pourouma;pourouma spp
220;embaubarana;urticaceae;pourouma;pourouma spp
225;abiurana cutite fl;sapotaceae;pouteria;pouteria cf macrophylla
229;abiurana batinga;sapotaceae;pouteria;pouteria spp
230;abiurana casca fina;sapotaceae;pouteria;pouteria spp
231;abiurana cutite;sapotaceae;pouteria;pouteria spp
232;abiurana douradinha;sapotaceae;pouteria;pouteria spp
233;abiurana fedorenta;sapotaceae;pouteria;pouteria spp
234;abiurana olho veado;sapotaceae;pouteria;pouteria spp
235;jarai;sapotaceae;pouteria;pouteria spp
237;casca doce;sapotaceae;pradosia;pradosia spp
246;breu;burseraceae;protium;protium spp
247;breu branco;burseraceae;protium;protium spp
248;breu pitomba;burseraceae;protium;protium spp
249;breu vermelho;burseraceae;protium;protium spp
250;louro aritu;burseraceae;protium;protium spp
251;tachi vermelho;burseraceae;protium;protium spp
253;faveira folha fina;fabaceae;pseudopiptadenia;pseudopiptadenia cf suaveolens
255;mandioqueira;vochysiaceae;qualea;qualea sp
256;papo mutum;quiinaceae;quiinaceae;quiinaceae spp
260;muiraximbe;rubiaceae;rubiaceae;rubiaceae spp
261;taboquinha;rubiaceae;rubiaceae;rubiaceae spp
262;pitomba mata;sapindaceae;sapindaceae;sapindaceae spp
