_id;common_name;family;genus;species
263;abiurana;sapotaceae;sapotaceae;sapotaceae spp
264;abiurana abiu;sapotaceae;sapotaceae;sapotaceae spp
265;abiurana bacuri;sapotaceae;sapotaceae;sapotaceae spp
266;abiurana branca;sapotaceae;sapotaceae;sapotaceae spp
267;abiurana cutite fl;sapotaceae;sapotaceae;sapotaceae spp
268;abiurana roxa;sapotaceae;sapotaceae;sapotaceae spp
269;maparajuba;sapotaceae;sapotaceae;sapotaceae spp
273;tauari;elaeocarpaceae;sloanea;sloanea spp
274;urucurana;elaeocarpaceae;sloanea;sloanea spp
280;achicha;malvaceae;sterculia;sterculia spp
281;chicha;malvaceae;sterculia;sterculia spp
282;fava camuze;fabaceae;stryphnodendron;stryphnodendron spp
283;faveira camuze;fabaceae;stryphnodendron;stryphnodendron spp
284;inga arara;fabaceae;stryphnodendron;stryphnodendron spp
293;tachi pitomba;fabaceae;tachigali;tachigali spp
294;tachi preto;fabaceae;tachigali;tachigali spp
295;tachi vermelho;fabaceae;tachigali;tachigali spp
296;pitomba mata;sapindaceae;talisia;talisia cf cerasina
301;sapateiro;clusiaceae;tovomita;tovomita sp 1
302;sapateiro;clusiaceae;tovomita;tovomita spp
304;embauba;urticaceae;urticaceae;urticaceae spp
305;ucuuba preta;myristicaceae;virola;virola spp
306;ucuuba vermelha;myristicaceae;virola;virola spp
307;lacre;hypericaceae;vismia;vismia spp
308;lacre vermelho;hypericaceae;vismia;vismia spp
310;quaruba;vochysiaceae;vochysia;vochysia cf densiflora
311;quaruba vermelha;vochysiaceae;vochysia;vochysia cf densiflora
313;mandioqueira;vochysiaceae;vochysiaceae;vochysiaceae spp
